V1,V2,V3,V4,V5,V6,V7,Classification
0.53542367,0.910960355,0.524025552,0.992519869,0.837432245,0.895676293,0.632646106,1
0.431184333,0.763346373,0.350371431,0.885102837,0.53278152,0.92658667,0.621668477,1
0.857350556,0.963743138,0.723323049,0.997718333,0.850043196,0.732552999,0.437323394,1
0.013346423,0.098377634,0.008713765,0.781759106,0.414320961,0.817682545,0.410795832,0
-0.005582592,0.056952154,-0.016080275,0.628569909,0.401984947,0.704188025,0.40039212,0
0.740997452,0.936040714,0.715442614,0.998698428,0.901787434,0.82315486,0.523689776,1
0.8881245,0.921178205,0.710767962,0.955974585,0.446888548,0.776609789,0.391283709,1
0.01956702,0.32930069,0.021172165,0.731597236,0.36497385,0.736857739,0.360845458,0
-0.017362201,0.026990291,-0.032312843,0.836991661,0.344008208,0.832095623,0.365265402,0
-0.001230655,0.051769104,-0.008003096,0.748795111,0.374635339,0.754277451,0.381960038,0
0.701100733,0.83618391,0.573503042,0.995726059,0.755362414,0.961294999,0.632266575,1
0.734597818,0.908089153,0.69184761,0.991357365,0.76175135,0.78969958,0.461073417,1
0.020648875,0.108306726,0.002825686,0.842823586,0.505582376,0.805043918,0.43282142,0
-0.015743993,0.078227338,-0.012976872,0.756872227,0.434023454,0.726308136,0.457108269,0
-0.004403052,0.134774476,0.005146212,0.713950639,0.416572378,0.694076903,0.392784103,0
0.479439832,0.787077822,0.48089544,0.968734501,0.607488754,0.937128554,0.586582274,1
0.583552897,0.692803316,0.450590252,0.985801007,0.744802565,0.848635628,0.517745635,1
0.368722631,0.759028537,0.355374259,0.94919828,0.68229602,0.823635073,0.541531405,1
0.332917617,0.673269849,0.005749637,0.979187096,0.392770146,0.940364001,0.471514546,1
0.593996716,0.766138059,0.586594076,0.894430769,0.454465162,0.597215765,0.214306335,1
0.829914445,0.948989359,0.824303305,0.99512938,0.949214479,0.71160914,0.406270096,1
0.750325197,0.820219039,0.266830569,0.813541522,0.496192638,0.734588161,0.341043415,1
0.007710292,0.068807172,0.015591101,0.709188628,0.467640528,0.711209637,0.474615668,0
-0.005567719,0.124592767,-0.014366674,0.782365893,0.401451421,0.812918262,0.393307857,0
-0.001992241,0.104126441,-0.004990314,0.783496964,0.467821034,0.811897451,0.486329857,0
0.568384544,0.809489675,0.473138503,0.973854916,0.697280651,0.949390837,0.477131485,1
0.601906378,0.825922936,0.489151893,0.948760252,0.723513013,0.928791751,0.636318638,1
0.225727389,0.594893285,0.013797236,0.940372744,0.419565929,0.808110747,0.530973879,1
0.749058055,0.876174891,0.74632226,0.920558618,0.347287904,0.688364685,0.452358558,1
0.012655303,0.054751329,0.016777648,0.888506148,0.333297618,0.883006114,0.318594834,0
0.55675261,0.746107063,0.544069577,0.997193868,0.875756697,0.956697594,0.755830078,1
0.558799107,0.789567163,0.43881858,0.977712428,0.654078491,0.760214998,0.435119563,1
0.77207073,0.877039088,0.709278633,0.986424548,0.866975241,0.699521108,0.356739568,1
